date,Open,High,Low,Close,Volume
2024-10-17 04:00:00,231.7447,233.6426,231.3452,232.5139,62190.0
2024-10-17 05:00:00,232.5139,233.5228,232.4839,233.4229,114287.0
2024-10-17 06:00:00,233.3929,233.4928,232.8535,233.3729,65249.0
2024-10-17 07:00:00,233.343,233.5427,232.8735,233.2431,83007.0
2024-10-17 08:00:00,233.2531,233.6714,230.8257,233.5228,231828.0
2024-10-17 09:00:00,233.4628,233.9423,230.2664,231.465,5060309.0
2024-10-17 10:00:00,231.505,232.3241,230.9057,231.1053,3822918.0
2024-10-17 11:00:00,231.1054,232.3041,230.9756,232.2903,2450623.0
2024-10-17 12:00:00,232.2841,232.5538,231.7647,231.9206,1724641.0
2024-10-17 13:00:00,231.9245,232.3241,231.8147,232.1743,2328719.0
2024-10-17 14:00:00,232.1743,232.3141,231.0155,231.8446,3311329.0
2024-10-17 15:00:00,231.8446,232.0744,231.3751,232.0044,4578741.0
2024-10-17 16:00:00,231.9445,232.1143,231.7347,231.8546,13323695.0
2024-10-17 17:00:00,231.8458,246.867,231.525,231.8346,218974.0
2024-10-17 18:00:00,231.8047,232.0444,231.5749,231.9545,13627.0
2024-10-17 19:00:00,232.0344,232.0644,231.8037,231.9145,6451.0
2024-10-18 04:00:00,233.0133,234.4717,232.8435,234.232,90380.0
2024-10-18 05:00:00,234.242,234.9412,234.202,234.7614,66565.0
2024-10-18 06:00:00,234.7614,235.9401,234.6915,235.5405,100278.0
2024-10-18 07:00:00,235.5006,236.7292,234.9512,236.1099,296920.0
2024-10-18 08:00:00,236.08,236.7392,231.3152,236.0899,462462.0
2024-10-18 09:00:00,236.062,236.969,231.1604,235.161,12699737.0
2024-10-18 10:00:00,235.171,235.6204,234.0172,234.4318,5844843.0
2024-10-18 11:00:00,234.4418,235.0811,234.3818,234.7689,5144675.0
2024-10-18 12:00:00,234.7614,235.3857,234.6017,235.2049,2943808.0
2024-10-18 13:00:00,235.2059,235.6005,234.783,235.3887,2703128.0
2024-10-18 14:00:00,235.3807,235.4906,235.0511,235.3008,2208247.0
2024-10-18 15:00:00,235.2908,235.2958,234.5416,234.7215,4773510.0
2024-10-18 16:00:00,234.7215,234.8213,231.8946,234.7614,13816099.0
2024-10-18 17:00:00,234.7614,234.7714,230.1267,234.6515,46505.0
2024-10-18 18:00:00,234.6715,234.6715,234.4418,234.6016,16410.0
2024-10-18 19:00:00,234.5917,234.7414,234.4418,234.6016,12741.0
2024-10-21 04:00:00,233.7425,234.6415,233.4728,234.1421,31509.0
2024-10-21 05:00:00,234.1421,234.3119,233.7425,233.8025,17995.0
2024-10-21 06:00:00,233.8025,234.0122,233.0433,233.1332,33066.0
2024-10-21 07:00:00,233.2131,233.6926,233.0433,233.4928,54545.0
2024-10-21 08:00:00,234.3129,234.7414,223.5737,233.601,1137869.0
2024-10-21 09:00:00,233.6426,235.2409,233.2431,234.9115,3807308.0
2024-10-21 10:00:00,234.9162,235.8302,234.4173,235.6205,4257421.0
2024-10-21 11:00:00,235.6205,236.1989,234.9112,235.9801,6060628.0
2024-10-21 12:00:00,235.9701,236.3497,235.6804,236.2498,2865143.0
2024-10-21 13:00:00,236.2498,236.5894,235.9401,236.4096,2198330.0
2024-10-21 14:00:00,236.4296,236.5494,235.6704,235.7253,2061476.0
2024-10-21 15:00:00,235.7303,236.3197,235.568,236.3197,4462263.0
2024-10-21 16:00:00,236.1998,236.5494,235.674,236.2897,13481010.0
2024-10-21 17:00:00,236.3097,236.3596,234.7414,236.3397,1089585.0
2024-10-21 18:00:00,236.3397,236.3497,236.2198,236.2997,16817.0
2024-10-21 19:00:00,236.2797,236.3497,235.9401,236.3497,20921.0
2024-10-22 04:00:00,235.9901,236.0999,235.151,235.3408,17032.0
2024-10-22 05:00:00,235.3408,235.4706,234.6216,234.6415,32257.0
2024-10-22 06:00:00,234.6315,234.8413,234.5616,234.6415,17171.0
2024-10-22 07:00:00,234.6515,235.131,234.5416,234.6415,80794.0
2024-10-22 08:00:00,236.1134,236.2198,233.4229,234.0422,1480022.0
2024-10-22 09:00:00,234.0022,235.8902,232.3441,232.9035,5762051.0
2024-10-22 10:00:00,232.908,234.0322,232.7436,233.9673,4747933.0
2024-10-22 11:00:00,233.9723,234.6514,233.6926,234.2323,3050088.0
2024-10-22 12:00:00,234.237,234.6815,233.8724,234.6815,2830804.0
2024-10-22 13:00:00,234.6765,235.4905,234.4817,235.4207,2749665.0
2024-10-22 14:00:00,235.4157,235.7503,234.9212,235.111,2742676.0
2024-10-22 15:00:00,235.111,235.9601,235.0011,235.6005,3864708.0
2024-10-22 16:00:00,235.5905,249.7403,219.2868,235.6404,16461945.0
2024-10-22 17:00:00,235.6404,249.7403,235.3707,235.4307,278307.0
2024-10-22 18:00:00,235.3907,235.6005,234.9712,235.141,44058.0
2024-10-22 19:00:00,235.2708,235.5306,235.161,235.4357,12016.0
2024-10-23 04:00:00,235.141,235.4407,234.6116,234.6116,8685.0
2024-10-23 05:00:00,234.6815,234.7414,234.4717,234.4717,8541.0
2024-10-23 06:00:00,234.4717,234.6615,234.0322,234.1421,14260.0
2024-10-23 07:00:00,234.2719,234.5916,234.0722,234.192,48788.0
2024-10-23 08:00:00,234.2919,235.6005,233.4928,233.6826,139448.0
2024-10-23 09:00:00,233.6426,235.6404,233.343,234.6565,4056761.0
2024-10-23 10:00:00,234.6565,234.8612,233.8524,234.0347,3478545.0
2024-10-23 11:00:00,234.0322,234.304,230.3263,231.3052,8028186.0
2024-10-23 12:00:00,231.3252,233.313,228.6781,229.3873,10707773.0
2024-10-23 13:00:00,229.3773,229.9467,228.0288,228.1187,4937627.0
2024-10-23 14:00:00,228.1087,229.4073,227.5094,229.0077,4596687.0
2024-10-23 15:00:00,228.9878,230.606,228.928,230.4961,5985672.0
2024-10-23 16:00:00,230.4961,230.546,229.7669,230.0965,16060048.0
2024-10-23 17:00:00,230.1665,235.6005,229.9967,230.2763,224890.0
2024-10-23 18:00:00,230.2763,230.5061,229.8468,230.0866,226783.0
2024-10-23 19:00:00,230.0965,230.4462,229.7769,230.3762,37582.0
2024-10-24 04:00:00,230.4062,231.2453,230.4062,231.0255,33090.0
2024-10-24 05:00:00,231.0255,231.1354,230.9057,231.0855,12123.0
2024-10-24 06:00:00,231.0855,231.2053,231.0455,231.1454,8186.0
2024-10-24 07:00:00,231.1454,231.2053,230.7858,230.9756,34460.0
2024-10-24 08:00:00,230.7096,233.9173,229.5172,230.2447,164236.0
2024-10-24 09:00:00,230.2164,230.4861,228.1587,229.5671,5328373.0
2024-10-24 10:00:00,229.5771,230.1265,228.9878,228.9978,3843117.0
2024-10-24 11:00:00,228.9978,229.9467,228.6288,229.3274,3115136.0
2024-10-24 12:00:00,229.3374,230.0916,228.4184,230.0546,2467514.0
2024-10-24 13:00:00,230.0566,230.566,229.8568,230.0016,2339177.0
2024-10-24 14:00:00,230.0066,230.3139,229.7869,230.2064,1640595.0
2024-10-24 15:00:00,230.1964,230.556,229.8668,230.3163,3755673.0
2024-10-24 16:00:00,230.3163,234.4118,230.1765,230.2264,12137438.0
2024-10-24 17:00:00,230.2064,230.3163,222.7297,230.1365,1103489.0
2024-10-24 18:00:00,230.1465,230.5061,229.8768,230.0069,31611.0
2024-10-24 19:00:00,230.0916,230.1365,229.2175,229.2575,29306.0
2024-10-25 04:00:00,228.8779,228.8779,227.0199,227.889,133682.0
2024-10-25 05:00:00,227.8191,228.6881,227.8191,228.3884,32590.0
2024-10-25 06:00:00,228.3884,228.5882,228.0788,228.1387,24992.0
2024-10-25 07:00:00,228.1487,228.6481,227.7591,228.4284,97167.0
2024-10-25 08:00:00,227.9986,230.3163,227.2497,229.4572,302114.0
2024-10-25 09:00:00,229.526,231.8346,229.0777,231.6448,5212550.0
2024-10-25 10:00:00,231.7048,232.6537,231.4652,232.5884,4374106.0
2024-10-25 11:00:00,232.6038,232.9634,231.505,231.7947,4128242.0
2024-10-25 12:00:00,231.7747,232.6937,231.6877,232.5189,2387575.0
2024-10-25 13:00:00,232.5189,232.5189,230.8757,231.2253,2785364.0
2024-10-25 14:00:00,231.2353,231.9445,230.8158,231.8846,2320589.0
2024-10-25 15:00:00,231.8646,231.9046,230.8557,231.1554,5190664.0
2024-10-25 16:00:00,230.8757,232.2463,230.3163,231.0455,20362277.0
2024-10-25 17:00:00,231.0455,231.3452,216.5381,231.2053,103021.0
2024-10-25 18:00:00,231.2053,231.3252,230.9556,231.0455,8571.0
2024-10-25 19:00:00,231.0155,231.1454,230.546,230.7259,18793.0
2024-10-28 04:00:00,232.6937,232.8835,231.2553,232.8435,36759.0
2024-10-28 05:00:00,232.8435,232.8635,232.5538,232.6837,23148.0
2024-10-28 06:00:00,232.6937,232.7436,231.9145,231.9945,51310.0
2024-10-28 07:00:00,231.9545,232.1343,231.3851,232.0943,69751.0
2024-10-28 08:00:00,231.9945,232.9023,228.788,232.404,1148496.0
2024-10-28 09:00:00,232.424,234.2919,232.1143,232.9234,4299099.0
2024-10-28 10:00:00,232.9234,234.0722,232.6437,233.6726,3738873.0
2024-10-28 11:00:00,233.6776,233.9223,232.9634,233.313,3204392.0
2024-10-28 12:00:00,233.288,234.4717,232.8935,234.0522,3283818.0
2024-10-28 13:00:00,234.0475,234.4218,233.8075,234.1371,1976586.0
2024-10-28 14:00:00,234.1371,234.1421,233.313,233.5028,1845840.0
2024-10-28 15:00:00,233.5028,233.7525,232.6637,233.2331,5090432.0
2024-10-28 16:00:00,232.8835,233.323,204.4435,232.6437,16922580.0
2024-10-28 17:00:00,232.6288,233.1432,178.5234,232.6937,777137.0
2024-10-28 18:00:00,232.6937,232.6937,232.2442,232.394,36589.0
2024-10-28 19:00:00,232.424,232.4939,232.1443,232.2192,30412.0
2024-10-29 04:00:00,232.6437,233.0433,231.8746,232.8735,25101.0
2024-10-29 05:00:00,232.8735,232.8835,232.2242,232.394,14747.0
2024-10-29 06:00:00,232.394,232.444,232.1443,232.394,13444.0
2024-10-29 07:00:00,232.364,232.444,231.505,231.9545,74275.0
2024-10-29 08:00:00,232.9729,233.1432,231.3452,231.9745,135230.0
2024-10-29 09:00:00,232.0044,234.0822,231.6448,233.348,3972746.0
2024-10-29 10:00:00,233.343,233.8125,232.7736,233.2331,4078035.0
2024-10-29 11:00:00,233.2481,233.3729,232.7637,233.0833,2540555.0
2024-10-29 12:00:00,233.0932,233.7226,232.7536,233.6927,2586724.0
2024-10-29 13:00:00,233.6926,233.9523,233.5128,233.5627,1798071.0
2024-10-29 14:00:00,233.5577,233.9323,233.5028,233.8324,3245341.0
2024-10-29 15:00:00,233.8374,234.0672,233.283,233.4928,4858579.0
2024-10-29 16:00:00,233.5128,247.3858,226.614,232.2042,15417953.0
2024-10-29 17:00:00,232.2542,233.4129,232.0644,232.2042,1545261.0
2024-10-29 18:00:00,232.1443,232.6338,232.0644,232.5888,42799.0
2024-10-29 19:00:00,232.5438,232.9434,232.2841,232.5938,47449.0
2024-10-30 04:00:00,232.8635,233.1432,232.2442,232.8435,42813.0
2024-10-30 05:00:00,232.8036,232.9434,232.6437,232.9234,10460.0
2024-10-30 06:00:00,232.9035,232.9434,232.6637,232.7836,19531.0
2024-10-30 07:00:00,232.7836,233.1432,232.5938,232.7736,66932.0
2024-10-30 08:00:00,232.8835,233.4129,228.788,232.5638,1305449.0
2024-10-30 09:00:00,232.5788,233.4129,231.5949,232.3241,4468724.0
2024-10-30 10:00:00,232.3431,232.5259,230.8857,230.9017,5129232.0
2024-10-30 11:00:00,230.9057,231.4101,230.2514,231.1353,4817472.0
2024-10-30 12:00:00,231.1304,231.2952,230.6659,230.6659,2531099.0
2024-10-30 13:00:00,230.6642,230.7958,229.6175,229.9655,3363955.0
2024-10-30 14:00:00,229.9617,233.2131,229.9578,230.2514,2830233.0
2024-10-30 15:00:00,230.2564,230.6859,229.2974,229.9667,8621276.0
2024-10-30 16:00:00,229.9167,236.1852,229.2675,229.4872,21965333.0
2024-10-30 17:00:00,229.3773,229.9068,229.2675,229.5372,867818.0
2024-10-30 18:00:00,229.5472,230.4761,229.3474,230.2064,117920.0
2024-10-30 19:00:00,230.1665,230.626,230.0766,230.4462,48801.0
2024-10-31 04:00:00,229.8768,231.1654,228.748,229.3074,33909.0
2024-10-31 05:00:00,229.3574,229.4073,228.9778,229.0077,14696.0
2024-10-31 06:00:00,229.0177,229.3773,228.9778,229.2774,14281.0
2024-10-31 07:00:00,229.2974,229.5971,228.9478,229.5072,63578.0
2024-10-31 08:00:00,229.8026,230.7458,228.9367,229.667,208696.0
2024-10-31 09:00:00,229.647,245.9091,227.9483,228.956,5924636.0
2024-10-31 10:00:00,228.9478,229.0077,227.1598,227.4594,5400671.0
2024-10-31 11:00:00,227.4295,227.5094,226.1509,226.8052,5046033.0
2024-10-31 12:00:00,226.7802,227.7391,226.6404,227.4794,3499807.0
